filename,N,custom_medcouple,statsmodels_medcouple,squared_error,my_time,sm_time
rand51,51,0.3630,0.3631,2.6533E-08,0.0008,0.0003
rand53,53,0.4263,0.4263,0.0000E+00,0.0011,0.0008
gamma2,100,0.3252,0.3253,2.6967E-08,0.0015,0.0003
unif2,100,0.0210,0.0212,5.3232E-08,0.0017,0.0003
gamma3,1000,0.3387,0.3387,2.9281E-13,0.0211,0.0119
unif3,1000,-0.0123,-0.0123,1.6356E-13,0.0220,0.0035
gamma4,10000,0.3105,0.3105,9.4532E-16,0.3066,0.7863
unif4,10000,-0.0006,-0.0006,4.9788E-16,0.3965,0.7254
women,21551,0.2308,0.2308,0.0000E+00,0.6118,3.3302
men,50165,0.1200,0.1200,0.0000E+00,1.0318,55.6830
RMSE,,,,1.0331E-04,,